"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2020-11-02","IN","Ghāziābād","pm25",48,172,442,247,45818.3,214.05,1.0,211.46,4.73,0.99,1,15,NULL,100,252,176
"2019-11-20","IN","Ghāziābād","pm25",48,162,442,272,46593.6,215.86,1.0,294.1,7.14,2.19,1,15,NULL,100,252,176
"2019-12-19","IN","New Delhi","pm25",24,226,441,330,49096.2,221.58,1.0,215.13,4.84,1.05,1,15,NULL,100,251,176
"2020-12-22","IN","New Delhi","pm25",24,192,441,380,86329.6,293.82,1.0,233.97,5.39,1.32,1,15,NULL,100,241,171
"2019-11-22","IN","Ghāziābād","pm25",48,190,440,330,46850.8,216.45,1.0,304.33,7.43,2.33,1,15,NULL,100,252,176
"2019-12-12","IN","New Delhi","pm25",24,199,440,303,49180.4,221.77,1.0,237.27,5.48,1.37,1,15,NULL,100,251,176
"2022-12-20","IN","New Delhi","pm25",24,180,440,296,66091.7,257.08,1.0,225.63,5.14,1.2,1,15,NULL,100,230,165
"2020-12-09","IN","Lucknow","pm25",95,13,439,254,46716.7,216.14,1.0,216.23,4.87,1.51,1,15,NULL,100,229,165
"2019-01-08","IN","Kolkata","pm25",120,151,438,190,47718.8,218.45,1.0,231.88,5.33,2.33,1,15,NULL,100,220,160
"2019-11-19","IN","Ghāziābād","pm25",47,171,437,208,52646.5,229.45,1.0,291.07,7.05,2.14,1,15,NULL,100,252,176
"2020-12-28","IN","Ghāziābād","pm25",9999,155.38,436.5,271.25,49431.41,222.33,1.0,272.94,6.52,1.88,1,15,NULL,100,257,179
"2019-01-01","IN","Kolkata","pm25",120,158,436,235,42765.2,206.8,1.0,235.0,5.42,2.38,1,15,NULL,100,220,160
"2019-12-04","IN","Ghāziābād","pm25",48,167,436,240,47718.7,218.45,1.0,241.27,5.6,1.42,1,15,NULL,100,251,176
"2019-12-21","IN","New Delhi","pm25",24,230,436,330,33084.8,181.89,1.0,223.97,5.1,1.18,1,15,NULL,100,251,176
"2020-12-25","IN","Ghāziābād","pm25",44,159,435,245,56433.1,237.56,1.0,261.47,6.19,1.71,1,15,NULL,100,257,179
"2020-12-08","IN","Ghāziābād","pm25",47,134,434,323,74362.3,272.69,1.0,264.8,6.28,1.76,1,15,NULL,100,257,179
"2021-11-18","IN","New Delhi","pm25",24,172,434,211,34200,184.93,1.0,237.77,5.5,1.38,1,15,NULL,100,262,181
"2020-12-01","IN","Lucknow","pm25",85,139,434,222,39854.8,199.64,1.0,208.7,4.65,1.37,1,15,NULL,100,229,165
"2019-01-02","IN","New Delhi","pm25",24,192,434,342,67572.4,259.95,1.0,328.0,8.12,2.68,1,15,NULL,100,230,165
