"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2022-09-17","KR","Ulsan","precipitation",9999,0.7,7.15,4.35,103.96,10.2,0.9,21.85,0.17,3.17,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-13","KR","Seoul","precipitation",604,0.1,7.1,5.7,33.04,5.75,1.0,13.69,0.0,2.56,NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-06","KR","Incheon","precipitation",107,0.1,7.1,0.4,6.78,2.6,0.83,18.46,0.1,2.59,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-13","KR","Incheon","precipitation",377,0.1,7.1,6.5,26.65,5.16,1.0,20.29,0.13,2.96,NULL,NULL,NULL,NULL,NULL,NULL
"2020-10-10","ZA","Johannesburg","precipitation",9999,0.1,6.98,1,66,8.12,0.71,1.5,-0.25,2.7,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-26","KR","Jeonju","precipitation",9999,0.1,6.96,2.34,17.21,4.15,1.0,18.03,0.09,2.69,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-06","KR","Incheon","precipitation",69,0.1,6.9,1.4,38.4,6.2,1.0,20.69,0.14,3.04,NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-15","KR","Pohang","precipitation",9999,0.2,6.65,1.55,22.62,4.76,0.97,15.01,0.02,2.52,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-22","KR","Daegu","precipitation",9999,0.1,6.45,1.42,18.37,4.29,0.8,19.49,0.12,3.6,NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-17","JP","Kyoto","precipitation",9999,0.2,6.31,1.86,217.17,14.74,0.74,64.74,1.05,2.97,NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-18","KR","Yeosu","precipitation",77,0.1,6.3,0.5,48.89,6.99,0.77,24.72,0.23,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","KR","Cheongju-si","precipitation",9999,0.17,6.13,3.17,95.72,9.78,1.0,21.51,0.16,3.51,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-24","KR","Seoul","precipitation",52,1.9,6.1,2.8,31.65,5.63,1.0,14.3,0.01,2.73,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-23","KR","Seoul","precipitation",1176,0.2,6.1,2.8,40.41,6.36,1.0,14.27,0.01,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-23","KR","Incheon","precipitation",708,0.2,6.1,2.8,8.52,2.92,1.0,20.03,0.13,2.91,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-24","KR","Incheon","precipitation",31,2.1,6.1,2.8,4.21,2.05,1.0,20.03,0.13,2.91,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-04","KR","Jeonju","precipitation",160,0.1,5.9,0.2,9.23,3.04,0.67,18.22,0.09,2.73,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-09","KR","Ulsan","precipitation",330,0.1,5.9,0.3,28,5.29,0.55,19.52,0.12,2.7,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-24","KR","Jeonju","precipitation",240,0.1,5.7,1.9,14.19,3.77,0.87,17.8,0.08,2.64,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-21","KR","Daegu","precipitation",9999,0.1,5.6,1.2,14.82,3.85,0.8,19.53,0.12,3.61,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-21","KR","Suwon","precipitation",9999,1.45,5.6,2.55,38.82,6.23,1.0,18.38,0.09,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2021-11-26","ZA","Johannesburg","precipitation",59,0.1,5.5,0.7,24.49,4.95,0.87,1.59,-0.25,2.93,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-25","KR","Incheon","precipitation",9999,1.7,5.32,2.44,3.9,1.97,1.0,20.01,0.13,2.9,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-14","KR","Seoul","precipitation",128,0.1,5.2,1.9,40.41,6.36,1.0,15.54,0.04,3.08,NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-10","JP","Ōita","precipitation",9999,0.39,5.17,3.99,858.77,29.3,0.45,52.89,0.81,2.85,NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-19","JP","Tokyo","precipitation",63,0.4,5.1,1.6,40.4,6.36,0.81,64.86,1.06,3.08,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","KR","Jeonju","precipitation",9999,0.1,4.94,1.66,11.55,3.4,1.0,17.87,0.08,2.66,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-23","KR","Jeonju","precipitation",54,0.1,4.8,0.5,8.95,2.99,0.87,19.76,0.12,3.06,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-20","KR","Daegu","precipitation",9999,0.1,4.75,0.98,11.26,3.36,0.8,19.62,0.12,3.63,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-27","IN","Delhi","precipitation",9999,0.17,4.62,0.56,8.93,2.99,0.74,5.47,-0.17,2.56,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-26","KR","Incheon","precipitation",9999,1.3,4.54,2.08,3.59,1.89,1.0,19.97,0.13,2.89,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-26","IN","Delhi","precipitation",9999,0.18,4.5,0.55,8.32,2.88,0.74,5.66,-0.17,2.66,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-22","KR","Incheon","precipitation",32,0.2,4.4,0.4,11.78,3.43,1.0,20.02,0.13,2.9,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-25","IN","Delhi","precipitation",9999,0.18,4.38,0.54,7.71,2.78,0.74,5.87,-0.16,2.77,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-21","KR","Chuncheon","precipitation",23,0.4,4.3,1.6,21.84,4.67,1.0,29.01,0.31,4.33,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-24","KR","Suwon","precipitation",9999,0.2,4.25,3.25,24.14,4.91,1.0,18.37,0.09,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-24","IN","Delhi","precipitation",9999,0.19,4.25,0.52,7.1,2.66,0.74,6.09,-0.16,2.88,NULL,NULL,NULL,NULL,NULL,NULL
"2021-03-18","KR","Incheon","precipitation",9999,0.15,4.2,1.85,13.68,3.7,0.84,18.15,0.09,2.53,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","KR","Cheongju-si","precipitation",9999,0.18,4.17,2.23,49.09,7.01,1.0,21.4,0.16,3.49,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-10","CN","Fuzhou","precipitation",9999,0.1,4.17,0.49,583.96,24.17,0.55,53.26,0.82,2.69,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-23","IN","Delhi","precipitation",9999,0.19,4.12,0.51,6.5,2.55,0.74,6.33,-0.15,3.01,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-19","KR","Jeju City","precipitation",44,2.4,4.1,3.3,0.78,0.88,0.55,28.61,0.31,3.1,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-18","KR","Jeju City","precipitation",40,0.2,4.1,2.3,13.21,3.63,0.55,29.8,0.33,3.28,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-22","IN","Delhi","precipitation",50,0.2,4,0.5,5.89,2.43,0.74,6.6,-0.15,3.15,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-18","KR","Changwon","precipitation",53,0.1,4,1.2,15.94,3.99,0.83,29.69,0.33,3.97,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-10","KR","Yeosu","precipitation",9999,0.15,3.95,1.36,16.19,4.02,0.97,34.3,0.42,3.97,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-19","KR","Daegu","precipitation",9999,0.1,3.9,0.75,7.71,2.78,0.8,19.78,0.12,3.67,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-27","KR","Incheon","precipitation",9999,0.9,3.76,1.72,3.28,1.81,1.0,19.9,0.13,2.88,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-22","KR","Seoul","precipitation",108,0.2,3.5,2,7.86,2.8,1.0,14.22,0.01,2.71,NULL,NULL,NULL,NULL,NULL,NULL
"2021-11-28","ZA","Johannesburg","precipitation",32,0.1,3.4,0.4,5.95,2.44,0.87,1.52,-0.25,2.75,NULL,NULL,NULL,NULL,NULL,NULL
"2021-03-17","KR","Incheon","precipitation",9999,0.18,3.3,1.08,7.66,2.77,0.84,18.29,0.09,2.56,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-10","CN","Jinan","precipitation",30,0.6,3.3,0.7,2.81,1.68,0.87,69.49,1.15,2.6,NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-18","KR","Daegu","precipitation",9999,0.1,3.05,0.52,4.16,2.04,0.8,20.0,0.13,3.73,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","KR","Incheon","precipitation",9999,0.5,2.98,1.36,2.97,1.72,1.0,19.81,0.12,2.86,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-28","KR","Jeonju","precipitation",9999,0.1,2.92,0.98,5.88,2.42,1.0,17.68,0.08,2.62,NULL,NULL,NULL,NULL,NULL,NULL
"2021-06-04","JP","Kobe","precipitation",59,0.8,2.9,1.5,3.7,1.92,0.63,44.6,0.64,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-03","KR","Ulsan","precipitation",276,0.6,2.7,2.1,1.69,1.3,0.55,30.6,0.35,4.9,NULL,NULL,NULL,NULL,NULL,NULL
"2020-12-10","RO","Ploieşti","precipitation",20,0.2,2.7,1.1,8.55,2.92,0.42,51.62,0.78,2.74,NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-10","KR","Pohang","precipitation",200,0.4,2.6,1.8,2.09,1.45,0.97,16.4,0.05,2.87,NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-16","JP","Kyoto","precipitation",84,0.2,2.6,1.9,7.15,2.67,0.74,64.45,1.05,2.95,NULL,NULL,NULL,NULL,NULL,NULL
